,Grapheme,Phoneme
126,ولي ازآن جاكه ناتو مهم‌ترين نهاد امنيتي اروپا تلقي مي‌شد ، اتحاديه‌ي اروپاي غربي در دوران جنگ سرد تمام امكانات خود را در اختيار ناتو قرار داد تا اين‌كه پس از امضاي پيمان ماستريخت در سال هزار وَ نُهصد وَ نود وَ يك و آغاز روند وحدت اروپا ، اتحاديه مجدداً فعال شد ولي تابه‌حال با وجود تلاش كشورهاي اروپايي ، به‌ويژه فرانسه ، موفق نشده‌است جاي ناتو را در صحنه‌ي امنيتي اروپا بگيرد,"vali ]az]/n,/ke n/to mohemtarin nah/de1 ]amniyatie1 ]orup/ talaqqi mi.od ]etteh/diyeye1 ]orup/ye1 qarbi dar dor/ne1 ,ange1 sard tam/me1 ]emk/n/te1 xod r/ dar ]extiy/re1 n/to qar/r d/d t/]inke pas ]az ]emz/ye1 peym/ne1 m/strixt dar s/le1 hez/r va nohsad va navad va yek va ]/q/ze1 ravande1 vahdate1 ]orup/ ]etteh/diye mo,addadan fa]]/l .od vali t/beh/l b/ vo,ude1 tal/.e1 ke.varh/ye1 ]orup/]i bevi[e far/nse movaffaq na.ode ]ast ,/ye1 n/to r/ dar sahneye1 ]amniyatie1 ]orup/ begirad
"
127,در ماه آگوست هامامالاست شوهرش را وقتي‌كه از مزرعه برنج خارج مي‌شد ، زنده ديد,"dar m/he1 ]/gost h/m/m/l/st .ohara. r/ vaqtike ]az mazra]eye1 beren, x/re, mi.od zende did
"
128,يكي از همسايگانش با عجله به‌سوي او رفت و گفت ، سربازان ارتش اندونزي بواسطه وجود جدايي‌طلبان به روستاي او مراساه ريخته‌اند,"yeki ]az hams/yeg/na. b/ ]a,ale be suye1 ]u raft va goft sarb/z/ne1 ]arte.e1 ]andonezi be v/seteye1 vo,ude1 ,od/]italab/n be rust/ye1 ]u mor/s/h rixte]and
"
129,بلافاصله پس از آن صداي شليك گلوله سكوت را شكست,"bel/f/sele pas ]az ]/n sed/ye1 .ellike1 golule sokut r/ .ekast
"
130,هاماساي بيست وَ دو ساله سه پسر كوچك خود را برداشت و به‌همراه هشتصد نفر از روستائيان به مسجد امني كه پنجاه كيلومتر دورتر بوده فرار كرد,"h/m/s/ye1 bist va dos/le se pesare1 ku'ake1 xod r/ bard/.t va be hamr/he1 ha.tsad nafar ]az rust/]iy/n be mas,ede1 ]amni ke pan,/h kilumetr durtar bud far/r kard
"
131,راديو گزارش داد كه ارتش جسد نُه نفر از چريك‌هاي جنبش آچه را در بيمارستان محلي آچه انداخته است,"r/diyo goz/re. d/d ke ]arte. ,asade1 noh nafar ]az 'erikh/ye1 ,onbe.e1 ]/'e r/ dar bim/rest/ne1 mahallie1 ]/'e ]and/xte ]ast
"
132,جسد شوهر او سيد راملي نيز در ميان اجساد بود,",asade1 .ohare1 ]u seyyed r/meli niz- dar miy/ne1 ]a,s/d bud
"
133,هاماما درحالي‌كه در حياط مسجد گريه مي‌كرد گفت ، شوهرم كشاورز بود,"h/m/m/ darh/like dar hay/te1 mas,ed gerye mikard goft .oharam ke./varz bud
"
134,در اندونزي ما هيچ حقي نداريم,"dar ]andonezi m/ hi' haqqi nad/rim
"
135,استقلال تنها راه ممكن‌است,"]esteql/l tanh/ r/he1 momken ]ast
"
136,درك اين‌كه چرا هاماما استقلال را تنها راه ممكن مي‌داند آسان است,"darke1 ]in ke 'er/ h/m/m/ ]esteql/l r/ tanh/ r/he1 momken mid/nad ]/s/n ]ast
"
137,وقتي‌كه عبدالرحمن وحيد رئيس‌جمهور جديد اندونزي پيشنهاد برگزاري همه‌پرسي براي استقلال آچه را ارائه داد ، انتظار بروز آشوب را نداشت,"vaqtike ]abdolrahm/n vahid ra]is,omhure1 ,adide1 ]andonezi pi.nah/de1 bargoz/rie1 hameporsi bar/ye ]esteql/le1 ]/'e r/ ]er/]e d/d ]entez/re1 boruze1 ]/.ub r/ nad/.t
"
138,گاس دور يكي از علماي مسلمان ، شخصي كه ميانجي صلح است ، پيش‌بيني كرده بود براي آرامش ايالت ناراضي آچه پيشنهاد برقراري عدالت و راي گيري كافي خواهد بود,"g/sdor yeki ]az ]olam/ye1 mosalm/n .axsi ke miy/n,ie1 solh ]ast pi.bini karde bud bar/ye ]/r/me.e1 ]ey/late1 n/r/zie1 ]/'e pi.nah/de1 barqar/rie1 ]ed/lat va ra]ygiri k/fi x/had bud
"
139,اما بسيار شبيه به سرزمين تازه‌استقلال‌يافته تي‌مور شرقي ، آچه از دهه هزار وَ نُهصد وَ هفتاد فرياد جدايي از خاك اندونزي را سر داده‌است,"]amm/ besy/r .abih be sarzamine1 t/ze ]esteql/l y/fteye1 timore1 .arqi ]/'e ]az daheye1 hez/r va nohsad va haft/d fary/de1 ,od/]i ]az x/ke1 ]andonezi r/ sar d/de ]ast
"
140,در حدود يك‌ميليون نفر كه يك‌چهارم جمعيت آچه را تشكيل مي‌دهند با ريختن به خيابان‌ها به همه‌پرسي پيشنهادي پاسخ گفتند,"dar hodude1 yek milyun nafar ke yek 'ah/rome1 ,am]iyate1 ]/'e r/ ta.kil midahand b/ rixtan be xiy/b/nh/ be hameporsie1 pi.nah/di p/sox goftand
"
141,در حوالي مسجد اصلي پايتخت بانداآچه جمعيت براي استقلال آچه هورا كشيدند و هر كسي را كه از رابطه با اندونزي حمايت مي‌كرد ، هو كردند,"dar hav/lie1 mas,ede1 ]aslie1 p/ytaxte1 b/nd/ ]/'e ,am]iyat bar/ye ]esteql/le1 ]/'e hur/ ke.idand va har kasi r/ ke ]az r/bete b/ ]andonezi hem/yat mikard ho kardand
"
142,معلوم شد كه محاسبات وحيد به‌طرز خطرناكي اشتباه بوده‌است و به رها شدن نيروهايي مي‌انجامد كه خود او قادر به مهار آن‌ها نخواهد بود,"ma]lum .od ke moh/seb/te1 vahid be tarze1 xatarn/ki ]e.teb/h bude ]ast va be rah/ .odane1 niruh/]i mi]an,/mad ke xode1 ]u q/der be mah/re1 ]/nh/ nax/had bud
"
143,هنگامي‌كه وحيد به ايالات‌متحده رفت با اولين بحران سياسيش يعني احتمال اين‌كه كشورش در آستانه انشعاب باشد ، روبرو شد,"heng/mike vahid be ]ey/l/te1 mottahede raft b/ ]avvalin bohr/ne1 siy/siya. ya]ni ]ehtem/le1 ]in ke ke.vara. dar ]/st/neye1 ]en.e]/b b/.ad ruberu .od
"
144,آچه از اين‌كه بخشي از اندونزي باشد چيز زيادي بدست نياورده است,"]/'e ]az ]in ke bax.i ]az ]andonezi b/.ad 'ize1 ziy/di be dast nay/varde ]ast
"
145,حتي از وقتي‌كه اندونزي در دهه هزار وَ نُهصد وَ چهل استقلال خود را از هلند بدست آورد ، جاكارتا قول خودمختاري و ثروت را به ايالتي كه بشدت خواستار استقلال است داده‌است,"hatt/ ]az vaqtike ]andonezi dar daheye1 hez/r va nohsad va 'ehel ]esteql/le1 xod r/ ]az holand be dast ]/vard ,/k/rt/ qole1 xodmoxt/ri va servat r/ be ]ey/lati ke be.eddat x/st/re1 ]esteql/l ]ast d/de ]ast
"
146,در دوره حكومت سوهارتو ، رئيس‌جمهور پيشين جاكارتا ارتش را اعزام كرد و بيشترين سهم از ذخاير طبيعي اين ايالت را از آن خود كرد,"dar doreye1 hokumate1 soh/rto ra]is,omhure1 pi.ine1 ,/k/rt/ ]arte. r/ ]e]z/m kard va bi.tarin sahm ]az zax/yere1 tabi]ie1 ]in ]iy/lat r/ ]az ]/ne1 xod kard
"
147,در سال هزار وَ نُهصد وَ هشتاد وَ نُه سوهارتو براي سركوب شورش استقلال ، حكومت‌نظامي اعلام كرد,"dar s/le1 hez/r va nohsad va ha.t/d va noh soh/rto bar/ye sarkube1 .ure.e1 ]esteql/l hokumate1 nez/mi ]e]l/m kard
"
148,از آن پس ، آچه يك‌سري عمليات ترور را كه توسط ارتش اندونزي انجام مي‌شده تحمل كرده است,"]az ]/n pas ]/'e yek seri ]amaliy/te1 teror r/ ke tavassote1 ]arte.e1 ]andonezi ]an,/m mi.ode tahammol karde ]ast
"
149,جاكارتا در سال در حدود چهار ميليارد دلار از ذخاير گاز طبيعي را به باد داده‌است و كمتر از يك درصد آن را براي اهداف توسعه هزينه كرده است,",/k/rt/ dar s/l dar hodude1 'ah/r mily/rd dol/r ]az zax/yere1 g/ze1 tabi]i r/ be b/d d/de ]ast va kamtar ]az yek darsade1 ]/n r/ bar/ye ]ahd/fe1 tose]e hazine karde ]ast
"
150,در اين ضمن ، ارتش روستاها را با خاك يكسان كرد و مظنوناني را كه استقلال‌طلب بودند كشته و يا شكنجه كرده است,"dar ]in zemn ]arte. rust/h/ r/ b/ x/k yeks/n kard va maznun/ni r/ ke ]esteql/ltalab budand ko.te va y/ .ekan,e karde ]ast
"
151,جاكارتا تمايلي به دادن استقلال به آچه را ندارد,",/k/rt/ tam/yoli be d/dane1 ]esteql/l be ]/'e r/ nad/rad
"
152,دولت مي‌ترسد كه اگر آچه جدا شود ، بلافاصله ايالت‌هاي ديگر هم از آن پيروي كنند,"dolat mitarsad ke ]agar ]/'e ,od/ .avad bel/f/sele ]ey/lath/ye1 digar ham ]az ]/n peyrovi konand
"
153,درحالي‌كه رايوي نفت‌خيز براي سهيم شدن سود ، بيشتر در معامله با جاكارتا جاروجنجال راه‌انداخته است ، جنبش جدايي‌طلبي در خارج از ايريان جايا در حال شكل‌گيري است,"darh/like r/yoye1 naftxiz bar/ye sahim .odane1 sud bi.tar dar mo]/mele b/ ,/k/rt/ ,/ro,an,/l r/h ]and/xte ]ast ,onbe.e1 ,od/]italabi dar x/re, ]az ]iriy/n,/y/ dar h/le1 .eklgiri ]ast
"
154,درگيري‌هاي قومي در مجمع‌الجزاير ملوك هم مي‌تواند به تشكيل يك جنبش مستقل منجر شود,"dargirih/ye1 qomi dar ma,ma]ol,az/yere1 moluk ham mitav/nad be ta.kile1 yek ,onbe.e1 mostaqel mon,ar .avad
"
155,وحيد براي پرداختن به بحران كشور ، سفر خود را به كشورهاي همسايه قطع كرد و با مخالفان خود روبرو شد,"vahid bar/ye pard/xtan be bohr/ne1 ke.var safare1 xod r/ be ke.varh/ye1 hams/ye qat] kard va b/ mox/lef/ne1 xod ruberu .od
"
156,در يك جلسه اضطراري مسئولان كشور از رئيس‌جمهور خواستند تا از آچه ديدن كند,"dar yek ,alaseye1 ]ezter/ri mas]ul/ne1 ke.var ]az ra]is,omhur x/stand t/ ]az ]/'e didan konad
"
157,امين رئيس رهبر اسلامي و رئيس مجلس شوراي خلق هشدار داد ، شما بايد مردم را آرام كنيد,"]amin ra]is rahbare1 ]esl/mi va ra]ise1 ma,lese1 .or/ye1 xalq ho.d/r d/d .om/ b/yad mardom r/ ]/r/m konid
"
158,ممكن‌است زمان به‌نفع ما نباشد,"momken ]ast zam/n be naf]e1 m/ nab/.ad
"
159,رئيس به نيوزويك گفت ، اگر آچه جدا شود ، كشور ما تكه‌تكه مي‌شود,"ra]is be niyuzvik goft ]agar ]/'e ,od/ .avad ke.vare1 m/ tekketekke mi.avad
"
160,ارتش فقط به‌اين كه آماده باشد و تماشا كند و كاري انجام ندهد اكتفا نخواهد كرد,"]arte. faqat be ]in ke ]/m/de b/.ad va tam/./ konad va k/ri ]an,/m nadahad ]ektef/ nax/had kard
"
161,قبلاً در ماه اگوست افسران ارتش تي‌مور شرقي را طي يك همه‌پرسي كه مردم خواهان استقلال بودند از دست داده و ضرر كرده است,"qablan dar m/he1 ]/gost ]arte. timore1 .arqi r/ teyye1 yek hameporsi ke mardom x/h/ne1 ]esteql/l budand ]az dast d/de va zarar karde ]ast
"
162,ژنرال ويرانتو فرمانده پيشين نيروهاي مسلح گفته است كه يك راي گيري مشابه تي‌مور شرقي در آچه بر خلاف قانون اساسي است,"[ener/l vir/nto farm/ndehe1 pi.ine1 niruh/ye1 mosallah gofte ]ast ke yek ra]ygiri mo./behe1 timore1 .arqi dar ]/'e barxal/fe1 q/nune1 ]as/si ]ast
"
163,نيروهايي كه سابقاً تحت فرماندهي او بودند ، نگراني‌هاي خاص خود را دارند,"niruh/yi ke s/beqan tahte1 farm/ndehie1 ]u budand negar/nih/ye1 x/sse1 xod r/ d/rand
"
164,وحيد قول داده‌است تمامي سوًاستفاده‌هاي موجود را تا سطح سرلشكر تحقيق و پي‌گيري كند,"vahid qol d/de ]ast tam/mie1 su]e]estef/deh/ye1 mo,ud r/ t/ sathe1 sarla.kar tahqiq va peygiri konad
"
165,معلوم نيست آيا فرماندهان عالي‌رتبه ارتش اجازه انجام چنين كاري را مي‌دهند يا نه,"ma]lum nist ]/y/ farm/ndeh/ne1 ]/lirotbeye1 ]arte. ]e,/zeye1 ]an,/me1 'enin k/ri r/ midahand y/ na
"
166,افسران ارتش از مواجهه با دادگاه نظامي مي‌ترسند,"]afsar/ne1 ]arte. ]az mov/,ehe b/ d/dg/he1 nez/mi mitarsand
"
167,آن‌ها چيزهاي زيادي را دارند كه نبايد فاش شود,"]/nh/ 'izh/ye1 ziy/di r/ d/rand ke nab/yad f/. .avad
"
168,خبر وحشتناك آچه پس از استعفاي خفت‌بار سوهارتو در ماه مي‌هزار وَ نُهصد وَ نود وَ هشت به بيرون درز كرد,"xabare1 vah.atn/ke1 ]/'e pas ]az ]este]f/ye1 xeffatb/re1 suh/rto dar m/he1 meye1 hez/r va nohsad va navad va ha.t be birun darz kard
"
169,افشاي گورهاي دسته‌جمعي و اتاق‌هاي شكنجه بقدري تكان‌دهنده بود كه ويرانتو در ماه اگوست هزار وَ نُهصد وَ نود وَ هشت براي عذرخواهي از مردم آچه به آنجا رفت ، به محاصره ايالت پايان داد و قول داد كه هزاران سرباز مستقر در ايالت ، از آنجا عقب‌نشيني كنند,"]ef./ye1 gurh/ye1 daste,am]i va ]ot/qh/ye1 .ekan,e beqadri tek/ndahande bud ke vir/nto dar m/he1 ]/goste1 hez/r va nohsad va navad va ha.t bar/ye ]ozrx/hi ]az mardome1 ]/'e be ]/n,/ raft be moh/sereye1 ]ey/lat p/y/n d/d va qol d/d ke hez/r/n sarb/ze1 mostaqar dar ]ey/lat ]az ]/n,/ ]aqabne.ini konand
"
170,اما پس از اين‌كه در دسامبر گذشته سال پيش هفت نفر از سربازان اندونزيايي كشته شدند ، نيروهاي مسلح روش‌هاي بي‌رحمانه خود را از سر گرفتند,"]amm/ pas ]az ]in ke dar des/mbre1 goza.teye1 s/le1 pi. haft nafar ]az sarb/z/ne1 ]andoneziy/yi ko.te .odand niruh/ye1 mosallah rave.h/ye1 birahm/neye1 xod r/ ]az sar gereftand
"
171,امسال ارتش در نواحي روستايي مستقر شد و چند صد هزار نفر از روستائيان مجبور شدند از روستاهاي خود فرار كنند و به مسجد امني در كنار دريا پناه ببرند,"]ems/l ]arte. dar nav/hie1 rust/yi mostaqar .od va 'and sad hez/r nafar ]az rust/]iy/n ma,bur .odand ]az rust/h/ye1 xod far/r konand va be mas,ede1 ]amni dar ken/re1 dary/ pan/h bebarand
"
172,طبق آمار ارتش ، امسال بيش از پانصد نفر كه عمدتاً غيرنظاميان بودند به هلاكت رسيده‌اند,"tebqe1 ]/m/re1 ]arte. ]ems/l bi. ]az p/nsad nafar ke ]omdatan qeyrenez/miy/n budand be hal/kat reside]and
"
173,اما اگر مردم آچه موافقت كنند كه مي‌خواهند از اندونزي جدا شوند ، هيچ تدبيري براي آنچه كه بعداً رخ خواهد داد نينديشيده‌اند,"]amm/ ]agar mardome1 ]/'e mov/feqat konand ke mix/hand ]az ]andonezi ,od/ .avand hi' tadbiri bar/ye ]/n'e ke ba]dan rox x/had d/d nayandi.ide]and
"
174,ائتلاف نيم‌بند دانشجويان ، سازمان‌هاي غيردولتي ، روحانيون مسلمان ، تجار و دانشگاهيان ، فاقد رهبري است,"]e]tel/fe1 nimbande1 d/ne.,uy/n s/zm/nh/ye1 qeyredolati roh/niyune1 mosalm/n to,,/r va d/ne.g/hiy/n f/qede1 rahbari ]ast
"
175,دانشجويان با حدود پانصد تا چند هزار نفر از چريك‌هاي آچه آزاد كه‌در تپه‌هاي بيرون شهر استقرار يافته‌اند ، ارتباط دارند,"d/ne.,uy/n b/ hodude1 p/nsad t/ 'and hez/r nafar ]az 'erikh/ye1 ]/'eye1 ]/z/d ke dar tappeh/ye1 birune1 .ahr ]esteqr/r y/fte]and ]erteb/t d/rand
"
176,بنظر مي‌رسد رهبر صوري جي‌اي ام ، حسن تيرو‌ي سالخورده كه‌در سوئد در تبعيد بسر مي‌برد ، بيشتر به بازگرداندن سلطنت آچه ئي‌هاي قرن شانزدهم كه زماني بر بيشتر جنوب شرقي آسيا حكومت مي‌كردند توجه دارد تا بنا نهادن يك ايالت متجدد,"be nazar miresad rahbare1 surie1 ,ey]i]em hasan tiroye1 s/lxorde ke dar su]ed dar tab]id be sar mibarad bi.tar be b/zgard/ndane1 saltanate1 ]/'e]ih/ye1 qarne1 ./nzdahom ke zam/ni bar bi.tare1 ,onube1 .arqie1 ]/siy/ hokumat mikardand tava,,oh d/rad t/ ban/ nah/dane1 yek ]ey/late1 mote,added
"
177,حسني حسن معاون او كه افكار آزاد منشانه بيشتري دارد ، اكنون جناح ديگري را رهبري مي‌كند,"hosni hasan mo]/vene1 ]u ke ]afk/re1 ]/z/dmane./neye1 bi.tari d/rad ]aknun ,en/he1 digari r/ rahbari mikonad
"
178,تقريباً تمامي رهبران روي اين مسئله توافق دارند كه از مذاكره و توافق با جاكارتا امتناع كنند,"taqriban tam/mie1 rahbar/n ruye1 ]in mas]ale tav/foq d/rand ke ]az moz/kere va tav/foq b/ ,/k/rt/ ]emten/] konand
"
179,تيرو اين هفته گفت ، صحبت از مذاكرات احمقانه است,"tiro ]in hafte goft sohbat ]az moz/ker/t ]ahmaq/ne ]ast
"
180,به‌آن نيازي نداريم ، ما خود مستقل هستيم,"be ]/n niy/zi nad/rim m/ xod mostaqel hastim
"
181,طرفداران وحيد دست‌بسته مانده و راه پس و پيش ندارند,"tarafd/r/ne1 vahid dastbaste m/nde va r/he1 pasopi. nad/rand
"
182,او ماه گذشته وفاداران سوهارتو در ارتش را آرام كرد و برنامه‌هايي را براي عفو سوهارتو و صرف‌نظر كردن از نتايج تحقيقاتي كه رئيس‌جمهور قبلي از متهم به‌سرقت ميلياردها دلار از بودجه كشور در طول سه دوره بودن در مسند قدرت مي‌كند ، اعلام كرد,"]u m/he1 goza.te vaf/d/r/ne1 soh/rto dar ]arte. r/ ]/r/m kard va barn/meh/yi r/ bar/ye ]afve1 suh/rto va sarfe1 nazar kardan ]az nat/ye,e1 tahqiq/ti ke ra]is,omhure1 qabli r/ mottaham be serqate1 mily/rdh/ dol/r ]az bud,eye1 ke.var dar tule1 se dore budan dar masnade1 qodrat mikonad ]e]l/m kard
"
183,همزمان با اين اقدام ، وحيد سعي كرده است تا مردم آچه را از طريق يكي از خودشان بنام فخرول رازي به معاونت نيروهاي مسلح ، آرام كند,"hamzam/n b/ ]in ]eqd/m vahid sa]y karde ]ast t/ mardome1 ]/'e r/ ]az tariqe1 yeki ]az xode./n be n/me1 faxrolr/zi be mo]/venate1 niruh/ye1 mosallah ]/r/m konad
"
184,او قول داده‌است كه آچه مي‌تواند پنجاه وَ هفت درصد درآمد خود را از محل ذخاير طبيعي حفظ كند و نيز قول داده‌است تحقيقاتي را راجع‌به نقض حقوق‌بشر توسط ارتش ، انجام دهد,"]u qol d/de ]ast ke ]/'e mitav/nad pan,/h va haft darsade1 dar/made1 xod r/ ]az mahalle1 zax/yere1 tabi]i hefz konad va niz qol d/de ]ast tahqiq/ti r/ r/,e] be naqze1 hoquqe1 ba.ar tavassote1 ]arte. ]an,/m dahad
"
185,او مي‌گويد ، اقدامات فوق محدود به كارهاي جزئي نيست,"]u miguyad ]eqd/m/te1 foq mahdud be k/rh/ye1 ,oz]i nist
"
186,اگر لازم‌باشد شامل كارهاي بزرگ‌تري هم مي‌شود,"]agar l/zem b/.ad ./mele1 k/rh/ye1 bozorgtari ham mi.avad
"
187,ارتش نيز قول داده‌است واحدهاي رزمي جاكارتا از ايالت آچه عقب‌نشيني كنند,"]arte. niz qol d/de ]ast v/hedh/ye1 razmie1 ,/k/rt/ ]az ]iy/late1 ]/'e ]aqabne.ini konand
"
188,اگر وحيد به قول‌هايي كه‌در همه‌پرسي داده‌است عمل كند ممكن‌است با جدايي ايالت ديگري روبرو شود,"]agar vahid be qolh/yi ke dar hameporsi d/de ]ast ]amal konad momken ]ast b/ ,od/]ie1 ]ey/late1 digari ruberu .avad
"
189,احمد اومام حميد رئيس همايش حقوق‌بشر در آچه مي‌گويد ، مردم گفته‌اند چيزي كه آن‌ها مي‌خواهند استقلال است,"]ahmad ]um/mhamid ra]ise1 ham/ye.e1 hoquqe1 ba.ar dar ]/'e miguyad mardom gofte]and 'izi ke ]/nh/ mix/hand ]esteql/l ]ast
"
190,مردم اندونزي و گروههاي بين‌المللي هيچ حمايتي از همه‌پرسي آچه نمي‌كنند,"mardom ]andonezi va goruhh/ye1 beynolmelali hi' hem/yati ]az hameporsie1 ]/'e nemikonand
"
191,ارتش مي‌تواند حتي قبل از اين‌كه راي گيري انجام شود در كار آن اخلال كند و نتيجه‌اش تكرار روش‌هاي خشونت‌آميز تي‌مور شرقي شود,"]arte. mitav/nad hatt/ qabl ]az ]in ke raygiri ]an,/m .avad dar k/re1 ]/n ]exl/l konad va nati,e]a. tekr/re1 rave.h/ye1 xo.unat]/mize1 timore1 .arqi .avad
"
192,اگر رئيس‌جمهور به قولهايش عمل نكند ، ممكن‌است مردم آچه فشار خود را براي جدائي از جاكارتا بيشتر كنند,"]agar ra]is,omhur be qolh/ya. ]amal nakonad momken ]ast mardome1 ]/'e fe./re1 xod r/ bar/ye ,od/yi ]az ,/k/rt/ bi.tar konand
"
193,اظهارات وحيد ممكن‌است زمينه احساسات خشونت‌آميزتر را بين آچه و جاكارتا فراهم كند و خشونت‌هاي بيشتري را در پي‌داشته باشد,"]ezh/r/te1 vahid momken ]ast zamineye1 ]ehs/s/te1 xo.unat]/miztar r/ beyne1 ]/'e va ,/k/rt/ far/ham konad va xo.unath/ye1 bi.tari r/ dar pey d/.te b/.ad
"
194,گفتگويي با امين رئيس مجلس اندونزي امين رئيس رئيس قوه مقننه اندونزي كسي است كه‌در انتصاب رئيس‌جمهور موثر است,"goftegu]i b/ ]amin ra]ise1 ma,lese1 ]andonezi ]amin ra]is ra]ise1 qovveye1 moqannaneye1 ]andonezi kasi ]ast ke dar ]entes/be1 re]is,omhur mo]asser ]ast
"
195,ماه پيش رئيس مجلس شوراي خلق طراحي انتخاب عبدالرحمن وحيد را به‌عنوان رئيس‌جمهور بر عهده داشته است,"m/he1 pi. ra]ise1 ma,lese1 .or/ye1 xalq tarr/hie1 ]entex/be1 ]abdolrahm/n vahid r/ be ]onv/ne1 ra]is,omhur bar ]ohde d/.te ]ast
"
196,عبدالرحمان وحيد با عنوان گاس دور نيز شناخته‌شده است و با رئيس پنجاه وَ پنج‌ساله تحصيل‌كرده امريكا كه دانشمند سياسي‌كار و رهبر اسلامي است مكرراً مشورت مي‌كند,"]abdolrahm/n vahid b/ ]onv/ne1 g/sdor niz .en/xte .ode ]ast va b/ ra]ise1 pan,/h va pan,s/leye1 tahsilkardeye1 ]/mrik/ ke d/ne.mande1 siy/sik/r va rahbare1 ]esl/mi ]ast mokarraran ma.verat mikonad
"
197,رئيس كه به‌تازگي از جلسه اضطراري ماه گذشته با وحيد در مورد اين‌كه چطور مي‌توان ايالت ناآرام آچه را اداره كرد ، بازگشته بود ، با گروهي از سردبيران و خبرنگاران نيوزويك در دفترش در جاكارتا مصاحبه كرد,"ra]is ke bet/zegi ]az ,alaseye1 ]ezter/rie1 m/he1 goza.te b/ vahid dar morede1 ]in ke 'etor mitav/n ]ey/late1 n/]/r/me1 ]/'e r/ ]ed/re kard b/zga.te bud b/ goruhi ]az sardabir/n va xabarneg/r/ne1 niyuzvik dar daftara. dar ,/k/rt/ mos/hebe kard
"
198,گزيده‌اي از اين مصاحبه در زير آمده است ، نيوزويك ، آيا با گاس دور عبدالرحمان وحيد كه مي‌گويد بيشتر مردم آچه مي‌خواهند جزً جمهوري اندونزي باشند ، موافقيد ، رئيس ، ما نمي‌توانيم خيلي زود به نتايج خوش‌بينانه برسيم ، زيرا احتمال اين‌كه مردم آچه بخواهند تي‌مور شرقي را سرمشق خود قرار دهند و استقلال كامل را انتخاب كنند ، بيشتر است,"gozide]i ]az ]in mos/hebe dar zir ]/made ]ast niyuzvik ]/y/ b/ g/sdor ]abdolrahm/n vahid ke miguyad bi.tare1 mardome1 ]/'e mix/hand ,oz]e1 ,omhurie1 ]andonezi b/.and mov/feqid ra]is m/ nemitav/nim xeyli zud be nat/ye,e1 xo.bin/ne berasim zir/ ]ehtem/le1 ]in ke mardome1 ]/'e bex/hand timore1 .arqi r/ sarma.qe1 xod qar/r dahand va ]esteql/le1 k/mel r/ ]entex/b konand bi.tar ]ast
"
199,مردم آچه احساس مي‌كنند كه حقوق انساني و شرف آن‌ها بارها و بارها توسط دستگاه امنيتي كه مردم بي‌گناه را كشته ، به زنان آن‌ها تجاوز كرده و آنان را شكنجه كرده است ، نقض شده‌است,"mardome1 ]/'e ]ehs/s mikonand ke hoquqe1 ]ens/ni va .arafe1 ]/nh/ b/rh/vab/rh/ tavassote1 dastg/he1 ]amniyati ke mardome1 bigon/h r/ ko.te be zan/ne1 ]/nh/ ta,/voz karde va ]/n/n r/ .ekan,e karde ]ast naqz .ode ]ast
"
200,سهم آنان از درآمد ذخاير طبيعي نيز بسيار غيرمنصفانه است,"sahme1 ]/n/n ]az dar/made1 zax/yere1 tabi]i niz besy/r qeyremonsef/ne ]ast
"
201,جاي تعجبي نيست كه ايالت ، عقب‌مانده و بسيار فقير است,",/ye1 ta]a,,obi nist ke ]ey/lat m/nde va besy/r faqir ]ast
"
202,آيا گاس دور هنگامي‌كه پيشنهاد همه‌پرسي در آچه را داد ، اشتباه بزرگي مرتكب شد ، او بايد عادت خود را از رهبر يك سازمان غيردولتي بودن به رياست اين جمهوري بزرگ تغيير دهد,"]/y/ g/sdor heng/mike pi.nah/de1 hameporsi dar ]/'e r/ d/d ]e.teb/he1 bozorgi mortakeb .od ]u b/yad ]/date1 xod r/ ]az rahbare1 yek s/zem/ne1 qeyredolati budan be riy/sate1 ]in ,omhurie1 bozorg taqyir dahad
"
203,بعضي اوقات واكنشهايش فوري است,"ba]zi ]oq/t v/kone.h/ya. fori ]ast
"
204,مثلاً گفته است ، در آينده بايد منابع و ذخاير طبيعي ايالت رايوي نفت‌خيز به پنجاه وَ هفت درصد براي دولت رايو و پنجاه وَ دو درصد براي جاكارتا تقسيم شود,"masalan gofte ]ast dar ]/yande b/yad man/be] va zax/yere1 tabi]ie1 ]ey/late1 r/yoye1 naftxiz be pan,/h va haft darsad bar/ye dolate1 r/yo va pan,/h va do darsad bar/ye ,/k/rt/ taqsim .avad
"
205,ولي مقام ارشد وزراي اقتصادي گفت ، اگر چنين چيزي شود آن‌ها نخواهند توانست بودجه ملي را تامين كنند,"vali maq/me1 ]ar.ade1 vez/rate1 ]eqtes/di goft ]agar 'enin 'izi .avad ]/nh/ nax/hand tav/nest bud,eye1 melli r/ ta]min konand
"
206,ما به تحول نياز داريم ، يك تغيير واقعي ، اما اين خيلي شديد است ، به‌شدت افراطي است,"m/ be tahavvol niy/z d/rim yek taqyire1 v/qe]i ]amm/ ]in xeyli .adid ]ast be.eddat ]efr/ti ]ast
"
207,آيا همه‌پرسي در آچه غير قابل اجتناب است ، بله ، ما نمي‌توانيم تقاضاي همه‌پرسي را تغيير دهيم,"]/y/ hameporsi dar ]/'e qeyre1 q/bele1 ]e,ten/b ]ast bale m/ nemitav/nim taq/z/ye1 hameporsi r/ taqyir dahim
"
